iter	Passed	Remaining
737	3894	1382
738	3898	1377
739	3903	1371
740	3908	1366
741	3914	1361
742	3919	1355
743	3924	1350
744	3929	1345
745	3934	1339
746	3938	1333
747	3945	1329
748	3950	1323
749	3955	1318
750	3962	1313
751	3967	1308
752	3974	1303
753	3981	1298
754	3985	1293
755	3991	1288
756	3996	1282
757	4000	1277
758	4006	1272
759	4012	1266
760	4016	1261
761	4021	1256
762	4027	1250
763	4032	1245
764	4039	1241
765	4045	1235
766	4050	1230
767	4056	1225
768	4061	1219
769	4065	1214
770	4073	1209
771	4079	1204
772	4084	1199
773	4089	1194
774	4094	1188
775	4099	1183
776	4104	1177
777	4110	1172
778	4115	1167
779	4120	1162
780	4125	1156
781	4131	1151
782	4135	1146
783	4141	1141
784	4145	1135
785	4150	1130
786	4155	1124
787	4161	1119
788	4167	1114
789	4174	1109
790	4179	1104
791	4185	1099
792	4191	1094
793	4196	1088
794	4204	1084
795	4211	1079
796	4215	1073
797	4226	1069
798	4231	1064
799	4240	1060
800	4246	1055
801	4254	1050
802	4261	1045
803	4269	1040
804	4275	1035
805	4283	1030
806	4290	1026
807	4298	1021
808	4306	1016
809	4313	1011
810	4322	1007
811	4328	1002
812	4335	997
813	4343	992
814	4358	989
815	4370	985
816	4382	981
817	4397	978
818	4406	973
819	4420	970
820	4443	968
821	4469	967
822	4477	962
823	4483	957
824	4490	952
825	4497	947
826	4509	943
827	4515	937
828	4521	932
829	4533	928
830	4543	924
831	4553	919
832	4569	916
833	4575	910
834	4584	905
835	4588	900
836	4594	894
837	4600	889
838	4605	883
839	4613	878
840	4619	873
841	4623	867
842	4630	862
843	4636	856
844	4643	851
845	4650	846
846	4658	841
847	4669	837
848	4676	831
849	4683	826
850	4689	821
851	4699	816
852	4709	811
853	4715	806
854	4725	801
855	4734	796
856	4745	791
857	4751	786
858	4762	781
859	4769	776
860	4776	771
861	4783	765
862	4790	760
863	4800	755
864	4806	750
865	4812	744
866	4821	739
867	4829	734
868	4835	728
869	4841	723
870	4847	718
871	4855	712
872	4863	707
873	4869	701
874	4876	696
875	4883	691
876	4891	685
877	4896	680
878	4904	675
879	4911	669
880	4918	664
881	4924	658
882	4932	653
883	4938	648
884	4944	642
885	4951	637
886	4959	631
887	4964	626
888	4975	621
889	4982	615
890	4991	610
891	5001	605
892	5007	599
893	5014	594
894	5021	589
895	5027	583
896	5033	578
897	5040	572
898	5047	567
899	5059	562
900	5067	556
901	5073	551
902	5080	545
903	5087	540
904	5094	534
905	5103	529
906	5110	523
907	5118	518
908	5125	513
909	5130	507
910	5137	501
911	5142	496
912	5151	490
913	5156	485
914	5162	479
915	5170	474
916	5176	468
917	5186	463
918	5192	457
919	5200	452
920	5207	446
921	5218	441
922	5223	435
923	5228	430
924	5233	424
925	5240	418
926	5246	413
927	5252	407
928	5257	401
929	5262	396
930	5268	390
931	5273	384
932	5280	379
933	5286	373
934	5292	367
935	5297	362
936	5302	356
937	5308	350
938	5313	345
939	5319	339
940	5325	333
941	5330	328
942	5335	322
943	5342	316
944	5347	311
945	5351	305
946	5360	300
947	5367	294
948	5372	288
949	5379	283
950	5386	277
951	5394	271
952	5399	266
953	5405	260
954	5410	254
955	5417	249
956	5422	243
957	5428	237
958	5434	232
959	5439	226
960	5445	220
961	5451	215
962	5457	209
963	5463	204
964	5467	198
965	5473	192
966	5479	186
967	5485	181
968	5492	175
969	5500	170
970	5515	164
971	5524	159
972	5531	153
973	5539	147
974	5546	142
975	5552	136
976	5557	130
977	5565	125
978	5574	119
979	5581	113
980	5588	108
981	5597	102
982	5604	96
983	5610	91
984	5618	85
985	5624	79
986	5631	74
987	5636	68
988	5647	62
989	5655	57
990	5661	51
991	5666	45
992	5672	39
993	5677	34
994	5683	28
995	5688	22
996	5693	17
997	5698	11
998	5704	5
999	5709	0
